SMILES,LC50,Structure
CC(C)O[P](=S)(OC(C)C)SCCN[S](=O)(=O)c1ccccc1,1.75,<rdkit.Chem.rdchem.Mol object at 0x315aa86d0>
CC(C)O[P](=O)(OC(C)C)SCc1ccccc1,4.2,<rdkit.Chem.rdchem.Mol object at 0x315aa8740>
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,3.93,<rdkit.Chem.rdchem.Mol object at 0x315aa87b0>
CCOc1snc(n1)C(Cl)(Cl)Cl,9.15,<rdkit.Chem.rdchem.Mol object at 0x315aa8820>
CCO[P](=S)(OCC)Oc1cc(on1)c2ccccc2,0.00057,<rdkit.Chem.rdchem.Mol object at 0x315aa8890>
CCO[P](=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0.0052,<rdkit.Chem.rdchem.Mol object at 0x315aa8900>
CSSC,1.61,<rdkit.Chem.rdchem.Mol object at 0x315aa8970>
CCOC(=O)CC(S[P](=O)(OC)OC)C(=O)OCC,0.01208,<rdkit.Chem.rdchem.Mol object at 0x315aa89e0>
CON(C(=O)OC)c1ccccc1COc2ccn(n2)c3ccc(Cl)cc3,0.068,<rdkit.Chem.rdchem.Mol object at 0x315aa8a50>
FC(F)C(F)(F)OCC(Cn1cncn1)c2ccc(Cl)cc2Cl,7.2,<rdkit.Chem.rdchem.Mol object at 0x315aa8ac0>
CO\N=C(C(=O)OC)\c1ccccc1CO\N=C(/C)c2cccc(c2)C(F)(F)F,0.74,<rdkit.Chem.rdchem.Mol object at 0x315aa8b30>
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,1450.0,<rdkit.Chem.rdchem.Mol object at 0x315aa8ba0>
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,755.0,<rdkit.Chem.rdchem.Mol object at 0x315aa8c10>
COc1ccc(\C=C\C)cc1,6.82,<rdkit.Chem.rdchem.Mol object at 0x315aa8c80>
CC(=C)C1CCC(=CC1)C,31.0,<rdkit.Chem.rdchem.Mol object at 0x315aa8cf0>
CC(C)C1=CC=C(C)CC1,1.85,<rdkit.Chem.rdchem.Mol object at 0x315aa8d60>
CC1=CC[C@@H]2C[C@H]1C2(C)C,1.44,<rdkit.Chem.rdchem.Mol object at 0x315aa8dd0>
CC(C)=C1CCC(=CC1)C,2.55,<rdkit.Chem.rdchem.Mol object at 0x315aa8e40>
COCCc1ccc(OCC(O)CNC(C)C)cc1,63.9,<rdkit.Chem.rdchem.Mol object at 0x315aa8eb0>
CC(C)NCC(O)COc1cccc2ccccc12,1.6,<rdkit.Chem.rdchem.Mol object at 0x315aa8f20>
CC(C)N(C(=O)CCl)c1ccccc1,2.4,<rdkit.Chem.rdchem.Mol object at 0x315aa8f90>
CNC(=O)O\N=C(/C)SC,0.0064,<rdkit.Chem.rdchem.Mol object at 0x315aa9000>
CCO[Si](OCC)(OCC)c1ccccc1,45.5,<rdkit.Chem.rdchem.Mol object at 0x315aa9070>
NN,0.28,<rdkit.Chem.rdchem.Mol object at 0x315aa90e0>
CN(C)N,68.15,<rdkit.Chem.rdchem.Mol object at 0x315aa9150>
CCCCCCS,0.028,<rdkit.Chem.rdchem.Mol object at 0x315aa91c0>
